sentence1	sentence2	label	semantic_similarity	quality_flag
belize high school is a high school in belize city belize secondary school	belize high school is a high school secondary school in belize city belize	1	0.9979	strong
the town of cortlandville close to the western border of the county is surrounded by the city of cortland	the city of cortlandville near the western border of the county is surrounded by the town of cortland	1	0.9923	strong
the area was once served by edinburgh waverley railway station which provided direct access to the railway to corstorphine	the area was once served by edinburgh waverley railway station which provided direct railway access to corstorphine	1	0.9963	strong
branksome is a suburb of poole in dorset england the area is composed of commercial and industrial properties and also a number of residential areas	branksome is a suburb of poole in dorset england the area consists of commercial and industrial properties and also a number of residential areas	1	0.9983	strong
hector pieterson was buried at the avalon cemetery in johannesburg with hastings ndlovu	hastings ndlovu was buried with hector pieterson at avalon cemetery in johannesburg	0	0.9331	strong
the organization manages the alvin fund in cooperation with the swedish ornithological society and the environmental protection agency	the organization manages the alvin fund jointly with the swedish ornithological society and the environmental protection agency	1	0.9936	strong
it has small high concrete walls with high stained glass windows	it has high stuccoonconcrete walls with small high stained glass windows	0	0.8449	moderate
bengidzakiwe is a native song singed in traditional ceremonies in swaziland which became a local hit in 2007	mine bengidzakiwe is a native song sung in traditional ceremonies in swaziland which became a local hit in 2007	1	0.9238	strong
in 2010 she performed at the sixth annual jewlicious festival next to kosha dillz moshav rav shmuel electro morocco and matisyahu	in 2010 she performed at the sixth annual jewlicious festival with matisyahu moshav rav shmuel electro morocco and kosha dillz	1	0.99	strong
baldwin attended oregon state university and was later transferred to texas a m university	baldwin attended texas a m university and later transferred to oregon state university	0	0.9922	strong
he appeared as archie mullen in the disaster film daylight 1996 and as george tyrell in the film freedom song 2000	he appeared as george tyrell in the disaster film daylight 1996 and as archie mullen in the movie freedom song 2000	0	0.997	strong
the spacecraft is the second application of the flexbus platform from astrium the first was grace	the spacecraft is the first application of astrium s flexbus platform grace was the second	0	0.9778	strong
he died on august 18 1861 in sandy hill and was buried at the union cemetery in fort edward	he died in sandy hill on 18 august 1861 and was buried at the union cemetery in fort edward	1	0.9959	strong
in 2015 stephen hawking offered richard branson a seat for free in the spaceship virgin galactic	in 2015 stephen hawking offered richard branson a seat on the virgin galactic spaceship for free	1	0.9924	strong
in 1892 william h bennett died and langdon hubbard took over the mill	william h bennett died in 1892 and langdon hubbard took over the mill	1	0.9941	strong
paralepetopsis tunnicliffae is a species of sea snail a true limpet a true gastropod mollusk in the family neolepetopsidae one of the families of the marine limpets	paralepetopsis tunnicliffae is a sea snail species a true limpet a marine gastropod mollusk in the neolepetopsidae family one of the families of true limpets	0	0.9962	strong
cheilea dormitoria is a species of small limpetlike sea snail a marine gastropod mollusk in the hipponicidae family the snails	cheilea dormitoria is a species of marine limpetlike sea snail a small gastropod mollusk in the family hipponicidae the hoof snails	0	0.9815	strong
he was born into a family of actors including his father cellier and halfsister antoinette his grandfather was the gilbert and sullivan conductor françois cellier	frank was born into a family of actors including his father cellier and halfsister antoinette his grandfather was the gilbert and sullivan conductor françois cellier	1	0.9315	strong
lahore governor malik ikhtyaruddin qaraqash fled the mongols while the mongols held the city for a few years under the rule of the mongol chief toghrul	governor malik ikhtyaruddin qaraqash held the mongols while the mongols under the rule of the mongolian chief toghrul fled from the city for a few years	0	0.935	strong
the 1921 stanford football team represented stanford university in the 1921 college football season	the 1921 stanford university football team represents stanford in the college football season 1921	0	0.9894	strong
in 1890 french colonel louis archinard formally conquered the entire territory of the former kingdom of kaarta which was annexed to the french west africa in 1904	in 1890 the french colonel louis archinard later conquered the entire territory of the former kaarta kingdom which was officially annexed to french west africa in 1904	0	0.9893	strong
they played in the 2015 china amateur football league finished 3rd and won the ascent to the china league two 2016	they played in the 2015 china amateur football league finished the 3rd place and won promotion to 2016 china league two	1	0.9577	strong
in the gallipoli campaign copies of the leach catapult were used which was made by the royal engineers locally	copies of the leach catapult which were used by the royal engineers locally were made in the gallipoli campaign	0	0.9906	strong
the main tributaries are the kilwinning and caaf water which join north and south of dalry respectively and the lugton water which joins just south of rye water	the main tributaries are the kilwinning and caaf water which unite north and south of dalry and the lugton water which joins south of rye water	1	0.9915	strong
sir roger martyn or martin was mercer and lord mayor of london in 1567 he was sheriff of london in 1559	sir roger martyn or martin was a mercer and lord mayor of london in 1567 he was also sheriff of london in 1559	1	0.9971	strong
these whole cays gave their name to the northwestern bank known in spanish as placer de los roques	these northwestern cays gave their name to the whole bank which is known as placer de los roques in the spanish language	0	0.9703	strong
leopold ii introduced a liberal constitution in tuscany and sanctioned a liberal ministry	in tuscany leopold ii sanctioned a liberal constitution and instituted a liberal ministry	0	0.9847	strong
for the next thirty years kriebel and warner sallman marketed over 100 bates works	in the next thirty years kriebel and bates marketed over 100 warner sallman works	0	0.9437	strong
the detroit red wings were winning four games to 2 against the norris division toronto maple leafs	the detroit red wings were defeated 4 games to 2 against the norris division winning toronto maple leafs	0	0.9774	strong
the jiul de vest river is a tributary of the river furu in romania	the furu river is a tributary of the jiul de vest river in romania	0	0.984	strong
the national treasury of the republic of kenya is the kenyan government ministry which formulates financial policies and oversees effective coordination of government financial and economic operations	the treasury department of the republic of kenya is the kenyan ministry of government which formulates financial and economic policies and monitors effective coordination of government financial operations	0	0.9599	strong
the manuscript was presented to eduard reuss the bishop of imbro nicephorus glykas	the manuscript was presented by nicephorus glykas bishop of imbro to eduard reuss	1	0.9682	strong
most of the other common birth countries were china 147 the philippines 70 india 51 nepal 26 and england 19	the most other common countries of birth were china 147 nepal 70 india 51 philippines 26 and england 19	0	0.9732	strong
ali sarı is currently living in konya for his university education with his two brothers and is trained by ekrem boyalı	living currently in konya for his university education with his two brothers ali sarı is coached by ekrem boyalı	1	0.9344	strong
for a number of reasons some recombinant colonies can not contain the desired white plasmid	some recombinant colonies may not contain the desired white plasmid for a number of reasons	1	0.9906	strong
the tournament took part in 10 olympic teams 3 teams from europe and 7 teams from africa	the tournament took part in 10 olympic teams 3 teams from africa and 7 teams from europe	0	0.9988	strong
the sitna river is a tributary of the river urechioiu in romania	the sitna river is a tributary of the urechioiu river in romania	1	0.9983	strong
there were many people waiting on the platform waiting for the tundladelhi passenger train	there were many people waiting for the tundladelhi passenger train on the platform	1	0.9929	strong
some of the governing bodies are the advertising standards board who is appointed by the advertising standards bureau and communications council	some of the governing bodies are the advertising standards bureau and the communications council which is appointed by the advertising standards board	0	0.9852	strong
in codice 5 is the second file codice 8 and in codice 4 is the second file codice 10	in codice 4 is the second file codice 8 and codice 5 is the second file codice 10	0	0.9961	strong
arnold lang 18 june 1855 30 november 1914 was a comparative naturalist a swiss anatomist and student of german biologist ernst haeckel	arnold arnold lang june 18 1855 november 30 1914 was a comparative naturalist swiss anatomist and student of german biologist ernst haeckel	1	0.9775	strong
other works of bailly in washington dc include sculptures by benjamin hallowell and alexander boss shepherd	other works by benjamin hallowell in washington dc include sculptures of bailly and alexander boss shepherd	0	0.9446	strong
the cave was destroyed in september 1938 by the new england hurricane in 1938 the station was damaged but repaired	the canopy was destroyed in september 1938 by the 1938 new england hurricane the station was damaged but repaired	0	0.7694	moderate
mukherjee was born on 30 september 1909 in the united provinces now varanasi uttar pradesh now benares british india	mukherjee was born on september 30 1909 in benares now varanasi united provinces now uttar pradesh british india	0	0.9845	strong
in 2014 a r rahman recorded a song at a singapore studio for chithra s private album raunaq written by kapil sibal	in 2014 a r rahman recorded a song for chithra s private album raunaq in a studio in singapore written by kapil sibal	1	0.9877	strong
the birkenhead enfranchisement act 1861 provided that it was to contain the wapentakes of barkston ash osgoldcross strafforth and tickhill staincross and agbrigg	the birkenhead enfranchisement act 1861 provided that it should contain the wapentakes of agbrigg osgoldcross strafforth and tickhill staincross and barkston ash	1	0.9805	strong
agamben shows that auctoritas and potestas are clearly distinct although they form together a system	agamben shows that auctoritas and potestas are clearly delineated although together they form a system	1	0.9435	strong
alicia has three sons with alberto cortina	together with alicia alberto cortina has three sons	0	0.9692	strong
stella maris played dunne in dublin before playing for everton in england	stella maris played in dublin with dunne before playing in england for everton	0	0.9923	strong
travelers can also fly to france paris by flying with air st pierre to halifax international airport and connect with europe airpost seasonal route	travelers can also fly to france paris by flying to halifax international airport with air st pierre and connecting with the europe airpost seasonal route	1	0.9964	strong
he spent most of his 11year competitive career with tenerife published in 197 professional games in six seasons one spent in la liga	he spent most of his 11year competitive career with tenerife appearing in 197 professional games during six seasons one spent in la liga	1	0.9749	strong
eventually north dakota also moved to division i and since then the two schools have been negotiating conditions to resume the series	north dakota also moved to division i eventually and since then the two schools have been negotiating terms to resume the series	1	0.9812	strong
unfortunately tam has the ability to analyze and expertly manipulate people and situations	unfortunately tam has the ability to manipulate people and situations and analyze them expertly	0	0.9885	strong
awwad was born in jerusalem and graduated in 1947 from the arab college in salfit	awwad was born in salfit he graduated from the arab college in jerusalem in 1947	0	0.9847	strong
the network previously repeated a translator in waterbury w12bh channel 12 which operates wedy directly	the network previously operated a translator in waterbury w12bh channel 12 which directly repeated wedy	0	0.9754	strong
some commercial microwave noise generators use avalanche diodes to create a large excess noise figure that can be turned off and on	some large excess microwave noise generators use avalanche diodes to create a commercial noise value that can be turned on and off	0	0.9797	strong
qingyang county government is located in the town of rongcheng	the government of rongcheng town is located in qingyang county	0	0.9726	strong
many people who admit to being frequent tanners say they tan to look good feel good and relax	many people who admit to being common tanners say that they tan to feel good to look good and relax	1	0.9824	strong
in the gorge forty rare plant communities were identified containing at least 1342 species and 54 different plants	forty different plant communities were identified in the gorge containing at least 1342 species and 54 rare plants	0	0.9857	strong
some of his earlier works were stricktly educational such as geographical films others such as communism and humanity	some of his earlier works were strictly geographical such as teaching films others such as communism and humanity	0	0.9511	strong
donnelly was one of several players born in northern ireland who benefited from the fai s attempts to establish their allireland influence	donnelly was one of several players born in ireland who benefited from the fai s attempts to establish their entire nordic influence in ireland	0	0.9298	strong
in 1968 the boardwalk bowl followed tangerine bowl and the pecan bowl moved from abilene to texas within arlington	in 1968 the boardwalk bowl followed the tangerine bowl and the pecan bowl within texas moved from abilene to arlington	0	0.9976	strong
the vidăcut river or hidecut river is a tributary of the eliseni river in romania	the river vidăcut or hidecut is a tributary of the eliseni river in romania	1	0.9941	strong
jones is the son of timothy and patricia jones and has an elder sister taryn and two younger brothers samuel and timothy	jones is the son of timothy and patricia jones and has one older sister taryn and two younger brothers samuel and timothy	1	0.9965	strong
milestone radio acquired the cfxjfm station in toronto from ctvglobemedia in 2010	ctvglobemedia acquired toronto station cfxjfm from milestone radio in 2010	0	0.9279	strong
francis davenport returned to england in 1841 leaving henry giles to manage his affairs	in 1841 francis davenport returned to england leaving henry giles to manage his business	1	0.9773	strong
during the lgm the laurentide ice sheet covered most of north america while beringia connected siberia with alaska	during the lgm the laurentide ice sheet covered most of northern alaska while beringia connected siberia with north america	0	0.9831	strong
he was born in bukan iran but arrived in 1997 to kristiansand norway	he was born in bukan iran but came to kristiansand norway in 1997	1	0.9894	strong
dunkerton moved from london to herefordshire at the age of fourteen	at the age of 14 dunkerton withdrew from herefordshire to london	0	0.8655	strong
red bank is located in the 4th congressional district and is part of the 11th state legislative district of new jersey	red bank is located in the 4th congressional district and is part of new jersey s 11th state legislative district	1	0.9977	strong
the single was released in three versions a regular edition a limited edition and a star driver edition	the single was released in three versions a limited edition a regular output and a star driver edition	1	0.9386	strong
in duel the double cruisers batman uses a simulation of despero to train the outsiders	in duel of the double crossers despero uses a simulation of batman to train the outsiders	0	0.8941	strong
the hallets cove terminal is located in astoria between the astoria houses project and socrates sculpture park	the astoria terminal is located in the hallets cove between the astoria houses project and socrates sculpture park	0	0.9752	strong
penn hills is a home rule municipality formerly a township in allegheny county pennsylvania united states	penn hills is a home community formerly a municipality in allegheny county pennsylvania united states	0	0.9718	strong
needs are also developed according to the existential categories of being having doing and interacting and from these dimensions a 36 cell matrix is defined	needs are also defined by the existential categories of being having doing and interacting and from these dimensions a 36 cell matrix is developed	0	0.9934	strong
due to the results obtained in the previous round kevin gleason received 30 kg gianni morbidelli 20 kg and pepe oriola 10 kg	due to the results of the previous round gianni morbidelli received 30 kg pepe oriola 20 kg and kevin gleason 10 kg	0	0.9763	strong
borjigin vanchinbalyn gularans 18201851 was a famous poet and the elder brother of the mongolian poet novelist and translator vanchinbalyn injinash	borjigin vanchinbalyn gularans 18201851 was a famous poet and elder brother of the mongolian poet writer and translator vanchinbalyn injinash	1	0.9943	strong
i was there and there he went here and there to my sorrow i find him	there went i and there was he here and there to my grief i find him	0	0.8358	moderate
the series was written by george pérez with art by kurt busiek	the series was written by kurt busiek with art from george pérez	0	0.9904	strong
in 2005 chen was assistant to toshiaki imai then manager of the chinese taipei national team	in 2005 toshiaki imai was appointed assistant to chen the then manager of the chinese taipei national team	0	0.9684	strong
she worked and lived in germany stuttgart berlin and in vienna austria	she worked and lived in stuttgart and berlin germany and in vienna austria	1	0.9974	strong
with hirai defeated kato escapes with yukari	defeated with kato hirai escapes with yukari	0	0.9771	strong
he was a member of the municipal council of jura for the canton of beaufort then general councilor in 1877	he was a member of the jura municipal council for the canton of beaufort then general council in 1877	1	0.9883	strong
smaller small cross circuit pylons may have two single arms on one side and one on the other	smaller small cross pylons may have two single arms on one side and one on the other	1	0.8659	strong
the jiul de vest river is a tributary of the furu river in romania	the river furu is a tributary of the jiul de vest river in romania	0	0.9828	strong
this is also a shearing effect when the focal length is smaller the shearing effect is larger	this is also a shearing effect when the focal length is larger the shear effect is smaller	0	0.9984	strong
geographically forsyth county occupies in central belews creek township	geographically occupies forsyth county in the central belews creek township	1	0.993	strong
the highest point of the resort is 2650m while its lowest point is 3600m 11811 feet above the sea level	the lowest point of the resort is 2650m while the highest point is 3600m 11811 meters above sea level	0	0.9865	strong
in the series finale stevie at age 13 portrayed by mateus ward is bar mitzvahed	in the series finale is stevie at the age of 13 portrayed by mateus ward mitzvahed bar	1	0.9871	strong
in a liquid state it appears as a white powder but it forms a solid crystal when heating	in a liquid state it appears as a white powder but when heated it forms a solid crystal	1	0.9863	strong
trolley service was proposed in 1892 by ellicott city to baltimore approved on 20 april 1895 and implemented in 1899	trolley service was proposed from baltimore to ellicott city in 1892 approved on april 20 1895 and implemented in 1899	0	0.9925	strong
he studied at the ravenshaw college in odisha and allahabad university and earned his law degree from m s law college utkal university in cuttack	he studied at ravenshaw college in cuttack and allahabad university and holds a degree in law from the m s law college of utkal university odisha	0	0.9779	strong
internationally alaska has road links with both the lower 48 us states and canada	canada has road links with both the lower 48 us states and alaska	0	0.9442	strong
born in 1935 in longbenton northumberland curry died in 1990 in mansfield nottinghamshire at the age of 54	born in 1935 in mansfield nottinghamshire curry died in 1990 at the age of 54 in longbenton northumberland	0	0.9943	strong
kurt warnekros is portrayed by sebastian koch in the 2015 film the danish girl	in the movie 2015 the danish girl sebastian koch is portrayed by kurt warnekros	0	0.9593	strong
when mohamad elzahabi was injured in a 1995 battle in kabul khadr visited him the peshawar hospital	when khadr was injured in kabul in 1995 mohamad elzahabi visited him at the peshawar hospital	0	0.9737	strong
zorina was the grandmother of the sisters elizabeth lizzie katherine and kristina lieberson who are now members of the band teen	zorina was the grandmother of sisters elizabeth lizzie katherine and kristina lieberson who are now members of the band teen	1	0.9993	strong
although its conjugatic acid is highly reactive peroxynitrite is stable in basic solutions	although its conjugate acid is highly reactive peroxynitrite is basic in stable solutions	0	0.9749	strong
shortly thereafter steel player tom brumley was announced and replaced by jay mcdonald	shortly thereafter steel player tom brumley quit and was replaced by jay mcdonald	1	0.9535	strong
from 1999 to 2002 she attended the scott middle school and from 2002 to 2005 the lincoln southwest high school	from 1999 to 2002 she attended the lincoln southwest high school and the scott middle school from 2002 to 2005	0	0.9978	strong
the first house a shanty built jacox from new york in 1830 in clarkston	squatter linux jacox from new york built the first house a shanty in clarkston in 1830	1	0.8474	moderate
the new location contained buildings similar to the sunken floor buildings of west stow england	the new site contained buildings similar to the sunken floor buildings of west stow in england	1	0.9679	strong
jarymowycz was a lecturer at the royal military college and was a frequent author of letters to the editor	jarymowycz was a sessional lecturer at the royal military college and was a frequent writer of letters to the editor	1	0.9863	strong
a few years later general obasanjo was released and pardoned after abacha died and after general abdulsalami abubakar took over power	general obasanjo was released and pardoned a number of years later after abacha died and after general abdulsalami abubakar took power	1	0.9945	strong
between these two towns the road followed unlike the old asphalt road the route of the current path of bougas	between these two cities the road unlike the old asphalt road followed the route of the current path of bougas	1	0.9724	strong
in 1930 it was acquired by american airlines to become avco	it was acquired by avco american airlines in 1930	0	0.9587	strong
he helps everyone get a good night s sleep and have yawning dreams and often talks with a sweet voice	he helps everyone get a good night s sleep and have sweet dreams and often talks with a yawning voice	0	0.9927	strong
axocomanitla is a municipality in southeastern tlaxcala in mexico	axocomanitla is a municipality in southeastern mexico in tlaxcala	0	0.996	strong
irregular menstruation is a menstrual disorder whose manifestations include irregular cycle lengths as well as metrorrhagia vaginal bleeding between expected periods	irregular menstruation is a vaginal disorder whose manifestations contain menstrual cycle lengths as well as metrorragia irregular bleeding between expected periods	0	0.98	strong
quindío is a municipality in the western part of the department of montenegro colombia it is located 10 km west of the departmental capital armenia	it is a municipality located in the western part of the department of montenegro colombia 10 km west of the district capital armenia	1	0.6618	drift
after the purchase in 1948 by the son of hew lorimer the sculptor robert lorimer this became the permanent family home later	after the purchase in 1948 by the son of robert lorimer the sculptor hew lorimer this later became a permanent family home	0	0.9941	strong
the museum building retains its classical style of oriental modern architecture through the standing bricks on the southeast corner of the building and the european image of the foyer	the museum building retains its classic style of oriental modern architecture through the standing bricks on the southeast corner of the building and the european image of the foyer	1	0.9896	strong
anton kreisl bassvocals joined in early 2008 to replace philip galitzine currently a member of the band atomic tom	in early 2008 philip galitzine joined bass singing to replace anton kreisl currently a member of the band atomic tom	0	0.9534	strong
in 2014 winger announced he and lucas divorced	in 2014 winger announced that he and lucas divorced	1	0.9972	strong
they were able to reclaim ladakh 1802 ludhiana 1806 amritsar kashmir lahore peshawar the khyber pass and multan	they were able to recapture ladakh 1802 ludhiana 1806 amritsar kashmir lahore peshawar the khyber pass and multan	1	0.9288	strong
he taught physics at a number of universities in england lebanon france germany italy and jordan before joining birzeit university in 1980	he taught physics at a number of universities in england lebanon france germany italy and jordan before he moved to birzeit university in 1980	1	0.98	strong
jacopo silvestri 16th century 15th century was an italian cryptographer and author	jacopo silvestri 15th 16th century was an italian cryptographer and author	1	0.9974	strong
on 30 june 2016 infante agreed to a minor league deal with the atlanta braves and was released by the braves on august 16 2016	on 30 june 2016 infante agreed to a minor league deal with the braves and was released by the atlanta braves on august 16 2016	1	0.9995	strong
he replaced john mabry as a backup at 1st base to derrek lee	he replaced john mabry as backup at 1st base to derrek lee	1	0.9978	strong
santa ana nopalucan is a municipality in mexico in southeastern tlaxcala	santa ana nopalucan is a municipality in mexico in the southeastern tlaxcala	1	0.9991	strong
russ killed at least 74 people in hainan guangdong and guangxi provinces and injured another 726 people	russ has killed at least 74 people and injured another 726 people in the provinces of hainan guangdong and guangxi	1	0.9678	strong
there are seven picnic areas and several have covered pavilions the largest of which can be reserved for up to 100 people	there are seven picnic places and some have reserved pavilions the largest of which can accommodate up to 100 people and can be covered	0	0.9822	strong
tamsen heiman was married to chamran an american muslim in 1961	in 1961 he was married to tamsen heiman an american muslim	0	0.9183	strong
in 1996 fleet acquired the us branch network new york and new jersey of the british national westminster bank	in 1996 fleet acquired the british branch network in new york and new jersey of the us national westminster bank	0	0.9915	strong
serena williams and venus williams won 57 6 2 6 2 against alexandra fusai and nathalie tauziat in the final	alexandra fusai and nathalie tauziat won 5 7 6 2 6 2 against serena williams and venus williams in the final	0	0.9478	strong
conn smythe the founder of toronto maple leafs team owner harold ballard and wrestler whipper billy watson helped rumball raise the 76 million to open the center	harold ballard founder of toronto maple leafs team owner conn smythe and wrestler whipper billy watson helped rumball find the 76 million dollars to open the centre	0	0.9515	strong
eurosta is a species of the tephritidae family known in europe as fruit flies and in north america as wing flies	eurosta is a species of the tephritidae family known in north america as fruit flies and in europe as wing flies	0	0.999	strong
john scott won australia s first sailing medal at the 1956 olympic games in melbourne when he and rolly tasker won a silver medal in their 12 m sharpie	rolly tasker won australia s first sail medal at the melbourne olympic games in 1956 when he and john scott won a silver medal in their 12 m sharp	0	0.9513	strong
her father democrat calvin l rampton served in the utah state senate and was unsuccessful in 1964 for the governor of utah against mitchell melich	her father mitchell melich served in the utah state senate and was unsuccessful in 1964 for the governor of utah against the democrat calvin l rampton	0	0.9732	strong
instead ac3 enables producers to choose the input level over a wide range by representing a measured dialog value including the required dialog level of the input signal	instead ac3 allows producers to choose input level over a wide range by representing a measured dialnorm value including the required dialog level of the input signal	1	0.9626	strong
he also worked in several houses and monasteries in ghent in beaulieu castle belgium in machelen and in horst castle	he has also worked in several houses and monasteries in ghent in beaulieu castle belgium in machelen and in horst castle	1	0.9901	strong
ptas were abolished by the 1985 local government act when the metropolitan county councils were restored	ptas were restored by the 1985 local government act when the metropolitan county councils were abolished	0	0.997	strong
at harper s request smith resigned from the cabinet on 4 july 1968	on july 4 1968 at smith s request harper resigned from the cabinet	0	0.9839	strong
in 1937 carla married spletter dr peter bischoff who in 1936 won a gold medal in sailing at the olympic games	in 1937 carla spletter married dr peter bischoff who had won a gold medal in sailing at the 1936 olympic games	0	0.9843	strong
he lived ten years in italy and won the classic bardolino race in turin italy for six years in a row from 2001 to 2006	he lived ten years in turin italy and won the classic race of bardolino in italy for six years in a row from 2001 to 2006	0	0.9955	strong
horace w webb a native of oklahoma settled just south of graniola missouri in 1910	horace w webb a native of oklahoma settled south of graniola missouri in 1910	1	0.9965	strong
barry manilow agreed to compose the songs for three don bluth pictures	barry barry manilow agreed to compose the songs for three don bluth pictures	1	0.9895	strong
the federal theatre project of the works progress administration set unemployed theatre performers and employees to work in 1936	the works progress administration of the federal theatre project used unemployed theatre performers and employees to work in 1936	0	0.985	strong
atenaide rv 702 is a 1728 opera by vivaldi to a revised edition of a 1709 libretto by caldara for apostolo zeno	atenaide rv 702 is a 1728 opera by vivaldi for a revised edition of a caldara libretto from 1709 for apostolo zeno	1	0.9977	strong
automatic transmission was standard manually with or without overdrive became an option in 1967	automatic transmission was standard manual with or without overdrive became an option in 1967	1	0.9851	strong
in 1880 became the western half of the mount ayr township kill creek township	in 1880 the western half of mount ayr township became kill creek township	0	0.9927	strong
ann henricksson and julie richardson won 6 3 3 6 75 against lea antonoplis and cammy macgregor in the final	ann henricksson and julie richardson won in the final 6 3 3 6 7 5 against lea antonoplis and cammy macgregor	1	0.9873	strong
he was the brother of actor barry lupino 1882 1962 and the father of ida lupino	he was the brother of the actor ida lupino 1882 1962 and father of barry lupino	0	0.9968	strong
this allowed capcom to translate the basic expressions from lee and use them wayne in game	this allowed capcom to use lee s basic expressions and translate them to wayne in the game	0	0.9863	strong
black bull bitter 39 abv was brewed and sold to commemorate the first theakson s pub where the first theakston s beers were brewed	black bull bitter 39 abv was brewed and sold to commemorate the theakson s first pub where the first theakston s beers were brewed	1	0.999	strong
in the compositions of the camerata members the theory preceded the practice the men set how the music should sound before they decided to compose it	in the compositions of the camerata members the theory preceded practice the men determined how the music should sound before they decided to compose them	1	0.9897	strong
olaf originated from a disturbed south of acapulco on august 21 over extremely warm waters	on august 21 olaf came from a warm south of acapulco over extremely disturbed waters	0	0.9566	strong
the single was distributed worldwide and certified digitally by fiera musicsony music entertainment korea and the music video was released by vevo	the single was released digitally and distributed by fiera music sony music entertainment korea worldwide and the musicvideo was certified by vevo	0	0.9156	strong
in september 2015 goodyear is again the president of goodyear investment company and goodyear capital corporation	as of september 2015 goodyear is again president of the goodyear capital corporation and the goodyear investment company	1	0.9924	strong
in 1888 tutti frutti was one of the first rubber flavors to be produced in a vending machine sold by the adams new york gum company	in 1888 tutti frutti was one of the first rubber flavors to be sold in a vending machine manufactured by the adams new york gum company	0	0.9957	strong
the sheffield manor lodge visitor attraction includes the turret house tudor grounds discovery centre manor oaks farm manor cottages and rhubarb shed cafe	the visitor attraction of sheffield manor lodge includes turret house tudor premises discovery centre manor oaks farm manor cottages and rhubarb shed cafe	1	0.9876	strong
lee field in the galewood neighborhood of wyoming michigan is the home stadium of the club	lee field in the galewood neighborhood of wyoming michigan is the club s home stadium	1	0.9943	strong
roberto oliveira is also known as roberto de oliveira born december 16 1980 in brazil a brazilian footballer	roberto de oliveira is also known as roberto oliveira born december 16 1980 in brazil is a brazilian footballer	1	0.9917	strong
following the death of fred miller in 1998 and john paul miller in 2000 mary miller continued to live in the house located south of cleveland	after the death of mary miller in 1998 and fred miller in 2000 john paul miller continued living in the house located south of cleveland	0	0.9917	strong
his son sir john everard 1550 1624 was an barrister politician and judge richard s son john was the first of the everard baronets	his son sir john everard 1550 1624 was a lawyer politician and judge john s son richard was the first of the everard baronets	0	0.9827	strong
in 1945 blume was captured in landsberg prison by the americans and brought to salzburg	in 1945 blume was captured by the americans in the landsberg prison and taken to salzburg	1	0.992	strong
she was born in cork the daughter of richard hartland and mary walsh she was the niece of artist henry albert hartland she married stephen jackson	it was born in cork daughter of richard hartland and mary walsh was the niece of the artist henry albert hartland and married stephen jackson	1	0.9621	strong
phon sai is a district amphoe in the northeastern part of roi et province southeastern thailand	phon sai is a district amphoe in the southeastern part of the province of roi et in northeastern thailand	0	0.9966	strong
he pioneered important developments in the style of sculpting in wood parallel to those driven by domenico piola in marble sculpture and filippo parodi in painting	he has pioneered important developments in wood sculpting in parallel with those driven by filippo parodi in the marble sculpture and domenico piola in painting	0	0.9794	strong
livestreaming in addition to several gameplay movies members of the crew also produce let s play style videos	in addition to livestreaming gameplay footage several members of the crew also produce let s play style videos	0	0.9376	strong
it currently runs from yonge street to the south of davisville avenue northwest to allen road and eglinton avenue west	it currently runs from davisville avenue to the south of yonge street northwest of allen road and eglinton avenue west	0	0.9929	strong
warren county is included in the des moines west des moines metropolitan statistical area ia	the moines is included in the warren county west des moines metropolitan statistical area ia	0	0.9483	strong
her work is being collected and exhibited in new york san francisco monterey toledo and fort wayne takaoka isle of man london tokyo	her work is collected and exhibited in new york san francisco monterey toledo and fort wayne takaoka isle of man london tokyo	1	0.9922	strong
john ruskin called it the most precious henry james in the world paul veronese wrote in 1882	john ruskin called it the world s most precious paul veronese henry james wrote in 1882	0	0.9807	strong
these middle to large butterflies have red wings with black and yellow spots and a dark brown edge	these middle to large butterflies have black and yellow wings with dark brown spots and a red edge	0	0.9893	strong
the museum consists of a new information room a restoration hangar the main texas flying legends hangar and the oswin h elker hangar	the museum consists of a main information room a restoration hangar the new hangar texas flying legends and the oswin h elker hangar	0	0.9948	strong
we consider pseudodifferential operators here as a generalization of differential operators	we view differential operators here as the generalization of pseudodifferential operators	0	0.9855	strong
chandima weerakkody upfaslfp died on 30 may 2009 his replacement amarasiri dodangoda upfaslfp was sworn in on 9 june 2009	chandima weerakkody upfaslfp died on 30 may 2009 his successor amarasiri dodangoda upfaslfp was sworn in on 9 june 2009	1	0.9872	strong
the popular series follows a unique group of west virginia craftsmen	the unique series follows a popular group of the west virginia craftsmen	0	0.9912	strong
284 were polish 250 german 200 irish 132 slovak 85 english and 77 of italian ancestors	284 were of polish 250 german 200 irish 132 slovak 85 english and 77 italian ancestries	1	0.9305	strong
this frenchsupported production was directed by john eliot gardiner with jean louis martinoty conductor and his orchestra	this french supported production with jean louis martinoty conductor and his orchestra was directed by john eliot gardiner	1	0.9863	strong
the city sits at the confluence of the snake river with the great weiser river which marks the border with oregon	the city lies at the confluence of the snake river and the great weiser river which marks the border with oregon	1	0.9918	strong
ramot menashe is named in the menashe heights after which the kibbutz is located	ramot menashe is located in the menashe heights after which kibbutz is named	0	0.9952	strong
his uncle chris griffiths taught his own sons tony and wally griffiths and digsy to play guitar	his uncle chris griffiths taught his own sons tony and wally griffiths and digsy guitar to play	1	0.9959	strong
